泵组状态,频率组合,输出列,样本数,MAE,RMSE,R2,MAPE(%)
0001011,0.0|0.0|0.0|49.1|0.0|50.0|50.0,170:2_瞬时流量,301,3.52,4.81,0.0376,1.01
0001011,0.0|0.0|0.0|49.1|0.0|50.0|50.0,70:3_瞬时流量,301,5.96,7.3,0.8427,1.2
0001011,0.0|0.0|0.0|49.1|0.0|50.0|50.0,总管效率_pct,301,1.46,1.5,0.018,2.84
0001011,0.0|0.0|0.0|49.9|0.0|50.0|50.0,170:1_瞬时流量,622,11.27,14.36,0.6332,0.59
0001011,0.0|0.0|0.0|49.9|0.0|50.0|50.0,170:2_瞬时流量,622,4.49,6.02,-0.0023,1.29
0001011,0.0|0.0|0.0|49.9|0.0|50.0|50.0,70:3_瞬时流量,622,7.05,9.12,0.8544,1.42
0001011,0.0|0.0|0.0|49.9|0.0|50.0|50.0,总管效率_pct,622,1.86,2.15,-0.0432,3.6
0001110,0.0|0.0|0.0|48.4|42.9|50.0|0.0,170:1_瞬时流量,68,16.31,16.77,-0.8638,0.84
0001110,0.0|0.0|0.0|48.4|42.9|50.0|0.0,170:2_瞬时流量,68,6.72,6.94,-26.3271,1.43
0001110,0.0|0.0|0.0|48.4|42.9|50.0|0.0,70:3_瞬时流量,68,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|48.4|42.9|50.0|0.0,总管效率_pct,68,3.97,4.18,-0.2676,7.54
0001110,0.0|0.0|0.0|49.0|44.9|50.0|0.0,170:1_瞬时流量,68,18.22,23.5,-0.4124,0.96
0001110,0.0|0.0|0.0|49.0|44.9|50.0|0.0,170:2_瞬时流量,68,9.21,9.52,0.0217,1.86
0001110,0.0|0.0|0.0|49.0|44.9|50.0|0.0,70:3_瞬时流量,68,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.0|44.9|50.0|0.0,总管效率_pct,68,2.24,2.68,0.0302,4.55
0001110,0.0|0.0|0.0|49.1|45.7|50.0|0.0,170:1_瞬时流量,54,21.09,24.17,-0.0746,1.11
0001110,0.0|0.0|0.0|49.1|45.7|50.0|0.0,170:2_瞬时流量,54,12.2,13.91,-1.3467,2.46
0001110,0.0|0.0|0.0|49.1|45.7|50.0|0.0,70:3_瞬时流量,54,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.1|45.7|50.0|0.0,总管效率_pct,54,1.53,1.71,-0.0343,3.16
0001110,0.0|0.0|0.0|49.2|45.7|50.0|0.0,170:1_瞬时流量,70,12.34,15.83,0.5754,0.64
0001110,0.0|0.0|0.0|49.2|45.7|50.0|0.0,170:2_瞬时流量,70,10.66,12.75,0.0859,2.11
0001110,0.0|0.0|0.0|49.2|45.7|50.0|0.0,70:3_瞬时流量,70,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.2|45.7|50.0|0.0,总管效率_pct,70,1.31,1.41,-1.3124,2.73
0001110,0.0|0.0|0.0|49.4|46.7|50.0|0.0,170:1_瞬时流量,89,36.78,44.42,-2.3211,1.96
0001110,0.0|0.0|0.0|49.4|46.7|50.0|0.0,170:2_瞬时流量,89,3.85,4.54,-0.4114,0.73
0001110,0.0|0.0|0.0|49.4|46.7|50.0|0.0,70:3_瞬时流量,89,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.4|46.7|50.0|0.0,总管效率_pct,89,2.72,2.97,-0.1037,5.58
0001110,0.0|0.0|0.0|49.4|46.9|50.0|0.0,170:1_瞬时流量,105,40.82,49.08,-0.4536,2.17
0001110,0.0|0.0|0.0|49.4|46.9|50.0|0.0,170:2_瞬时流量,105,3.54,4.21,0.2809,0.66
0001110,0.0|0.0|0.0|49.4|46.9|50.0|0.0,70:3_瞬时流量,105,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.4|46.9|50.0|0.0,总管效率_pct,105,1.84,2.37,-0.0843,3.66
0001110,0.0|0.0|0.0|49.4|47.1|50.0|0.0,170:1_瞬时流量,68,26.19,31.68,-0.1056,1.35
0001110,0.0|0.0|0.0|49.4|47.1|50.0|0.0,170:2_瞬时流量,68,7.36,8.59,-0.0995,1.37
0001110,0.0|0.0|0.0|49.4|47.1|50.0|0.0,70:3_瞬时流量,68,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.4|47.1|50.0|0.0,总管效率_pct,68,1.47,1.63,-0.3823,2.93
0001110,0.0|0.0|0.0|49.6|47.6|50.0|0.0,170:1_瞬时流量,196,35.68,42.93,0.0965,1.86
0001110,0.0|0.0|0.0|49.6|47.6|50.0|0.0,170:2_瞬时流量,196,5.7,8.52,-0.2402,1.06
0001110,0.0|0.0|0.0|49.6|47.6|50.0|0.0,70:3_瞬时流量,196,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.6|47.6|50.0|0.0,总管效率_pct,196,3.61,4.41,-0.0655,7.95
0001110,0.0|0.0|0.0|49.6|47.7|50.0|0.0,170:1_瞬时流量,160,32.24,37.76,-0.2072,1.68
0001110,0.0|0.0|0.0|49.6|47.7|50.0|0.0,170:2_瞬时流量,160,4.33,6.25,-1.053,0.8
0001110,0.0|0.0|0.0|49.6|47.7|50.0|0.0,70:3_瞬时流量,160,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.6|47.7|50.0|0.0,总管效率_pct,160,2.13,2.68,-0.1779,4.28
0001110,0.0|0.0|0.0|49.7|47.3|50.0|0.0,170:1_瞬时流量,113,42.26,60.41,0.1574,2.14
0001110,0.0|0.0|0.0|49.7|47.3|50.0|0.0,170:2_瞬时流量,113,4.51,6.54,-0.7962,0.86
0001110,0.0|0.0|0.0|49.7|47.3|50.0|0.0,70:3_瞬时流量,113,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.7|47.3|50.0|0.0,总管效率_pct,113,3.71,4.6,-0.2339,8.53
0001110,0.0|0.0|0.0|49.7|47.7|50.0|0.0,170:1_瞬时流量,78,35.44,47.21,-0.1738,1.79
0001110,0.0|0.0|0.0|49.7|47.7|50.0|0.0,170:2_瞬时流量,78,6.64,8.27,-0.2461,1.24
0001110,0.0|0.0|0.0|49.7|47.7|50.0|0.0,70:3_瞬时流量,78,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.7|47.7|50.0|0.0,总管效率_pct,78,1.77,2.25,-0.3831,3.51
0001110,0.0|0.0|0.0|49.7|47.8|50.0|0.0,170:1_瞬时流量,87,50.72,70.58,-0.0447,2.54
0001110,0.0|0.0|0.0|49.7|47.8|50.0|0.0,170:2_瞬时流量,87,7.61,11.01,-0.1944,1.42
0001110,0.0|0.0|0.0|49.7|47.8|50.0|0.0,70:3_瞬时流量,87,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.7|47.8|50.0|0.0,总管效率_pct,87,1.88,2.5,-0.4228,3.7
0001110,0.0|0.0|0.0|49.7|48.4|50.0|0.0,170:1_瞬时流量,307,31.34,39.89,-0.147,1.63
0001110,0.0|0.0|0.0|49.7|48.4|50.0|0.0,170:2_瞬时流量,307,6.66,7.95,-0.1323,1.22
0001110,0.0|0.0|0.0|49.7|48.4|50.0|0.0,70:3_瞬时流量,307,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.7|48.4|50.0|0.0,总管效率_pct,307,2.02,2.43,-0.0289,4.25
0001110,0.0|0.0|0.0|49.7|48.9|50.0|0.0,170:1_瞬时流量,59,17.41,21.89,0.0467,0.89
0001110,0.0|0.0|0.0|49.7|48.9|50.0|0.0,170:2_瞬时流量,59,3.87,4.38,-0.6408,0.7
0001110,0.0|0.0|0.0|49.7|48.9|50.0|0.0,70:3_瞬时流量,59,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.7|48.9|50.0|0.0,总管效率_pct,59,2.27,2.67,-0.515,4.47
0001110,0.0|0.0|0.0|49.8|44.2|50.0|0.0,170:1_瞬时流量,70,10.73,18.27,0.5298,0.52
0001110,0.0|0.0|0.0|49.8|44.2|50.0|0.0,170:2_瞬时流量,70,8.43,10.63,-1.1616,1.7
0001110,0.0|0.0|0.0|49.8|44.2|50.0|0.0,70:3_瞬时流量,70,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.8|44.2|50.0|0.0,总管效率_pct,70,2.12,2.33,-2.3427,3.96
0001110,0.0|0.0|0.0|49.8|48.1|50.0|0.0,170:1_瞬时流量,54,61.65,85.58,-0.0237,3.05
0001110,0.0|0.0|0.0|49.8|48.1|50.0|0.0,170:2_瞬时流量,54,8.42,9.56,-0.5908,1.56
0001110,0.0|0.0|0.0|49.8|48.1|50.0|0.0,70:3_瞬时流量,54,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.8|48.1|50.0|0.0,总管效率_pct,54,2.74,3.35,-0.0922,5.48
0001110,0.0|0.0|0.0|49.8|48.5|50.0|0.0,170:1_瞬时流量,183,29.51,34.38,-0.1852,1.52
0001110,0.0|0.0|0.0|49.8|48.5|50.0|0.0,170:2_瞬时流量,183,5.85,7.32,-0.3269,1.07
0001110,0.0|0.0|0.0|49.8|48.5|50.0|0.0,70:3_瞬时流量,183,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.8|48.5|50.0|0.0,总管效率_pct,183,2.47,2.87,0.0155,5.16
0001110,0.0|0.0|0.0|49.8|48.7|50.0|0.0,170:1_瞬时流量,286,29.23,36.14,0.0067,1.5
0001110,0.0|0.0|0.0|49.8|48.7|50.0|0.0,170:2_瞬时流量,286,5.63,6.89,-0.0401,1.02
0001110,0.0|0.0|0.0|49.8|48.7|50.0|0.0,70:3_瞬时流量,286,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.8|48.7|50.0|0.0,总管效率_pct,286,2.27,2.95,0.0118,4.74
0001110,0.0|0.0|0.0|49.9|44.9|50.0|0.0,170:1_瞬时流量,61,12.3,15.09,-1.3611,0.6
0001110,0.0|0.0|0.0|49.9|44.9|50.0|0.0,170:2_瞬时流量,61,5.24,6.6,-0.5573,1.04
0001110,0.0|0.0|0.0|49.9|44.9|50.0|0.0,70:3_瞬时流量,61,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.9|44.9|50.0|0.0,总管效率_pct,61,2.81,3.13,-0.1815,5.42
0001110,0.0|0.0|0.0|49.9|45.0|50.0|0.0,170:1_瞬时流量,50,13.12,15.6,-4.0656,0.63
0001110,0.0|0.0|0.0|49.9|45.0|50.0|0.0,170:2_瞬时流量,50,4.57,5.9,-0.9421,0.9
0001110,0.0|0.0|0.0|49.9|45.0|50.0|0.0,70:3_瞬时流量,50,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.9|45.0|50.0|0.0,总管效率_pct,50,1.97,2.17,-0.1283,3.86
0001110,0.0|0.0|0.0|49.9|47.3|50.0|0.0,170:1_瞬时流量,69,35.32,37.35,-0.4728,1.85
0001110,0.0|0.0|0.0|49.9|47.3|50.0|0.0,170:2_瞬时流量,69,12.7,14.64,-2.805,2.5
0001110,0.0|0.0|0.0|49.9|47.3|50.0|0.0,70:3_瞬时流量,69,0.0,0.0,1.0,
0001110,0.0|0.0|0.0|49.9|47.3|50.0|0.0,总管效率_pct,69,1.18,1.36,0.0406,2.45
0001110,0.0|0.0|0.0|49.9|48.9|50.0|0.0,170:1_瞬时流量,121,27.01,28.98,-0.1201,1.37
0001110,0.0|0.0|0.0|49.9|48.9|50.0|0.0,170:2_瞬时流量,121,4.34,5.89,-0.0726,0.79
0001110,0.0|0.0|0.0|49.9|48.9|50.0|0.0,70:3_瞬时流量,121,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.9|48.9|50.0|0.0,总管效率_pct,121,2.0,2.61,-0.0229,4.29
0001110,0.0|0.0|0.0|49.9|49.6|50.0|0.0,170:1_瞬时流量,167,31.43,37.4,0.0115,1.6
0001110,0.0|0.0|0.0|49.9|49.6|50.0|0.0,170:2_瞬时流量,167,4.65,6.93,-0.012,0.84
0001110,0.0|0.0|0.0|49.9|49.6|50.0|0.0,70:3_瞬时流量,167,0.0,0.0,0.0,
0001110,0.0|0.0|0.0|49.9|49.6|50.0|0.0,总管效率_pct,167,3.22,3.65,-0.0195,6.93
0001110,0.0|0.0|0.0|49.9|50.0|50.0|0.0,170:1_瞬时流量,161,56.48,59.82,-0.1239,2.95
0001110,0.0|0.0|0.0|49.9|50.0|50.0|0.0,170:2_瞬时流量,161,16.78,17.43,-0.5953,3.09
0001110,0.0|0.0|0.0|49.9|50.0|50.0|0.0,70:3_瞬时流量,161,0.01,0.01,0.0,
0001110,0.0|0.0|0.0|49.9|50.0|50.0|0.0,总管效率_pct,161,3.31,3.67,-0.1106,7.25
0001110,0.0|0.0|0.0|50.0|34.0|50.0|0.0,170:1_瞬时流量,106,42.94,50.77,0.0549,2.26
0001110,0.0|0.0|0.0|50.0|34.0|50.0|0.0,170:2_瞬时流量,106,36.68,47.68,-0.2395,8.38
0001110,0.0|0.0|0.0|50.0|34.0|50.0|0.0,70:3_瞬时流量,106,0.0,0.02,0.0,
