泵组状态,状态,训练样本,测试样本,频率组合总数,有效频率组合,训练频率组合,测试频率组合,训练轮数,训练时长_s,运行时间,170:1_瞬时流量_MAE,170:1_瞬时流量_RMSE,170:1_瞬时流量_MAPE(%),170:1_瞬时流量_R2,170:2_瞬时流量_MAE,170:2_瞬时流量_RMSE,170:2_瞬时流量_MAPE(%),170:2_瞬时流量_R2,70:3_瞬时流量_MAE,70:3_瞬时流量_RMSE,70:3_瞬时流量_MAPE(%),70:3_瞬时流量_R2,总管效率_pct_MAE,总管效率_pct_RMSE,总管效率_pct_MAPE(%),总管效率_pct_R2,flowtotal(总和)_MAE,flowtotal(总和)_RMSE,flowtotal(总和)_MAPE(%),flowtotal(总和)_R2,原因,样本数
1010010,ok,1628.0,152.0,25,13,23.0,2.0,75.0,4.6,2026-08-03 15:30:07,15.720000267028809,21.139999389648438,0.73,0.8373,4.25,4.960000038146973,0.63,0.9398,0.0,0.0,,0.0,1.909999966621399,2.0899999141693115,4.14,-0.2807,15.300000190734863,21.790000915527344,0.54,0.9073,,
1010011,ok,4344.0,1338.0,99,22,95.0,4.0,68.0,4.9,2026-08-03 15:30:12,25.030000686645508,31.920000076293945,1.09,0.5063,5.289999961853027,6.690000057220459,0.73,0.7443,6.769999980926514,8.479999542236328,1.41,0.4632,1.8700000047683716,2.369999885559082,3.75,-0.0107,26.049999237060547,32.20000076293945,0.75,0.6624,,
1100010,ok,215252.0,45350.0,1937,825,1772.0,165.0,138.0,194.9,2026-08-03 15:33:29,24.760000228881836,32.0099983215332,1.19,0.9378,5.260000228881836,6.71999979019165,0.96,0.9493,0.0,0.0,,0.0,1.6699999570846558,2.200000047683716,3.49,0.0676,26.389999389648438,34.25,1.0,0.9522,,
1100011,ok,172860.0,39455.0,2129,588,2012.0,117.0,118.0,132.5,2026-08-03 15:35:44,25.459999084472656,32.58000183105469,1.26,0.9519,5.070000171661377,6.570000171661377,0.97,0.9582,8.1899995803833,10.8100004196167,1.67,0.7366,1.5800000429153442,2.0399999618530273,3.18,0.1343,28.739999771118164,36.970001220703125,0.95,0.9589,,
1100110,skipped,,,434,9,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 9 < 10,3470.0
1100111,skipped,,,205,2,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 2 < 10,1445.0
1101000,ok,152298.0,32054.0,1672,586,1555.0,117.0,84.0,84.3,2026-08-03 15:37:11,26.3700008392334,34.290000915527344,1.22,0.9241,5.570000171661377,7.03000020980835,1.19,0.9571,0.0,0.0,,0.0,1.9500000476837158,2.4200000762939453,3.98,0.0517,28.899999618530273,37.459999084472656,1.1,0.9432,,
1101001,ok,134954.0,27618.0,1621,356,1550.0,71.0,150.0,133.0,2026-08-03 15:39:26,31.780000686645508,39.529998779296875,1.47,0.8636,5.21999979019165,6.78000020980835,1.13,0.9452,6.679999828338623,8.489999771118164,1.36,0.6856,1.690000057220459,2.0799999237060547,3.34,0.0173,36.560001373291016,45.349998474121094,1.17,0.8941,,
1101010,skipped,,,152,0,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 0 < 10,332.0
1101011,skipped,,,164,0,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 0 < 10,420.0
1101100,skipped,,,126,7,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 7 < 10,1653.0
1101110,skipped,,,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 0 < 10,46.0
1101111,skipped,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 0 < 10,33.0
1110010,skipped,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 0 < 10,13.0
1110011,skipped,,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 0 < 10,20.0
1111000,skipped,,,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,有效频率组合 0 < 10,37.0
